fuente_suministro,date,sku,LT_meses,ingreso_usd_sin_recomendacion,ingreso_usd_con_recomendacion,tc
sakura filter,2024-10-01,c-38090,6.0,,,3.715999990254402
sakura filter,2024-06-01,a-88230-s,6.0,652.4112527384966,802.327029963513,3.746999808933834
sakura filter,2024-07-01,a-88230-s,6.0,648.005037053418,814.1601747594227,3.756425045317437
sakura filter,2024-08-01,a-88230-s,6.0,780.4653573295308,925.4089236907294,3.732000149037844
sakura filter,2024-09-01,a-88230-s,6.0,738.474013738043,801.6083378833678,3.746999808933834
sakura filter,2024-10-01,a-88230-s,6.0,,,3.715999990254402
ito koyama - amortiguadores,2024-06-01,48510-20010,6.0,507.0542885045757,507.0542885045757,3.746999808933834
ito koyama - amortiguadores,2024-07-01,48510-20010,6.0,325.14559707748003,325.14559707748003,3.756425045317437
ito koyama - amortiguadores,2024-08-01,48510-20010,6.0,490.9103759889022,490.9103759889022,3.732000149037844
ito koyama - amortiguadores,2024-09-01,48510-20010,6.0,522.1451899481642,522.1451899481642,3.746999808933834
ito koyama - amortiguadores,2024-10-01,48510-20010,6.0,,,3.715999990254402
mann - brasil,2024-06-01,cf-600/1,4.0,761.4891358277497,914.751816945875,3.746999808933834
mann - brasil,2024-07-01,cf-600/1,4.0,857.0919396100383,1002.2563486224988,3.756425045317437
mann - brasil,2024-08-01,cf-600/1,4.0,856.244020872606,856.244020872606,3.732000149037844
mann - brasil,2024-09-01,cf-600/1,4.0,976.301104887267,976.301104887267,3.746999808933834
mann - brasil,2024-10-01,cf-600/1,4.0,,,3.715999990254402
narva,2024-06-01,48607,4.0,704.1249389650086,704.1249389650086,3.746999808933834
narva,2024-07-01,48607,4.0,832.6343425166796,832.6343425166796,3.756425045317437
narva,2024-08-01,48607,4.0,716.4570416237766,909.2358087724367,3.732000149037844
narva,2024-09-01,48607,4.0,664.3759504750484,664.3759504750484,3.746999808933834
narva,2024-10-01,48607,4.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,t009,6.0,883.7810158417674,883.7810158417674,3.746999808933834
ito koyama - resortes,2024-07-01,t009,6.0,636.0352209655325,636.0352209655325,3.756425045317437
ito koyama - resortes,2024-08-01,t009,6.0,400.1236834011961,400.1236834011961,3.732000149037844
ito koyama - resortes,2024-09-01,t009,6.0,168.78576429869298,168.78576429869298,3.746999808933834
ito koyama - resortes,2024-10-01,t009,6.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,v002,6.0,471.74250136172725,471.74250136172725,3.746999808933834
ito koyama - resortes,2024-07-01,v002,6.0,522.84317052157,522.84317052157,3.756425045317437
ito koyama - resortes,2024-08-01,v002,6.0,530.6505746528367,688.5300844669039,3.732000149037844
ito koyama - resortes,2024-09-01,v002,6.0,432.43062624825,773.1335438983864,3.746999808933834
